G,Opponent,,Tm,Opp
1,Philadelphia 76ers,W,105,87
2,Toronto Raptors,L,101,113
3,New York Knicks,W,103,101
4,Orlando Magic,L,90,93
5,Oklahoma City Thunder,W,101,95
6,Detroit Pistons,W,109,89
7,Detroit Pistons,W,108,105
8,Milwaukee Bucks,W,117,113
9,Indiana Pacers,L,101,102
10,Denver Nuggets,L,107,115
11,Phoenix Suns,W,116,109
12,Utah Jazz,L,115,123
13,Portland Trail Blazers,L,94,100
14,Chicago Bulls,W,111,82
15,Toronto Raptors,W,123,116
16,Utah Jazz,L,86,98
17,Charlotte Hornets,L,112,117
18,New York Knicks,L,109,117
19,Atlanta Hawks,W,114,96
20,Dallas Mavericks,L,104,113
21,New Orleans Pelicans,W,124,107
22,Cleveland Cavaliers,W,128,95
23,Minnesota Timberwolves,W,118,109
24,New York Knicks,W,128,100
25,Chicago Bulls,W,133,77
26,New Orleans Pelicans,W,113,100
27,Washington Wizards,W,130,125
28,Atlanta Hawks,W,129,108
29,Detroit Pistons,L,104,113
30,Phoenix Suns,L,103,111
31,Milwaukee Bucks,L,107,120
32,Charlotte Hornets,W,119,103
33,Philadelphia 76ers,W,121,114
34,Houston Rockets,L,113,127
35,Memphis Grizzlies,W,112,103
36,San Antonio Spurs,L,111,120
37,Minnesota Timberwolves,W,115,102
38,Dallas Mavericks,W,114,93
39,Brooklyn Nets,W,116,95
40,Indiana Pacers,W,135,108
41,Miami Heat,L,99,115
42,Orlando Magic,L,103,105
43,Brooklyn Nets,L,102,109
44,Toronto Raptors,W,117,108
45,Memphis Grizzlies,W,122,116
46,Atlanta Hawks,W,113,105
47,Miami Heat,W,107,99
48,Cleveland Cavaliers,W,123,103
49,Golden State Warriors,L,111,115
50,Brooklyn Nets,W,112,104
51,Charlotte Hornets,W,126,94
52,New York Knicks,W,113,99
53,Oklahoma City Thunder,W,134,129
54,Cleveland Cavaliers,W,103,96
55,Los Angeles Lakers,L,128,129
56,Los Angeles Clippers,L,112,123
57,Philadelphia 76ers,W,112,109
58,Detroit Pistons,W,118,110
59,Milwaukee Bucks,L,97,98
60,Chicago Bulls,L,116,126
61,Toronto Raptors,L,95,118
62,Portland Trail Blazers,L,92,97
63,Washington Wizards,W,107,96
64,Houston Rockets,L,104,115
65,Golden State Warriors,W,128,95
66,Sacramento Kings,W,111,109
67,Los Angeles Lakers,W,120,107
68,Los Angeles Clippers,L,115,140
69,Sacramento Kings,W,126,120
70,Atlanta Hawks,W,129,120
71,Denver Nuggets,L,105,114
72,Philadelphia 76ers,L,115,118
73,Charlotte Hornets,L,117,124
74,San Antonio Spurs,L,96,115
75,Cleveland Cavaliers,W,116,106
76,Indiana Pacers,W,114,112
77,Brooklyn Nets,L,96,110
78,Miami Heat,W,110,105
79,Miami Heat,W,112,102
80,Indiana Pacers,W,117,97
81,Orlando Magic,L,108,116
82,Washington Wizards,W,116,110
