G,Opponent,,Tm,Opp
1,Boston Celtics,L,87,105
2,Chicago Bulls,W,127,108
3,Orlando Magic,W,116,115
4,Detroit Pistons,L,132,133
5,Milwaukee Bucks,L,108,123
6,Charlotte Hornets,W,105,103
7,Atlanta Hawks,W,113,92
8,Toronto Raptors,L,112,129
9,Los Angeles Clippers,W,122,113
10,Detroit Pistons,W,109,99
11,Brooklyn Nets,L,97,122
12,Indiana Pacers,W,100,94
13,Charlotte Hornets,W,133,132
14,Memphis Grizzlies,L,106,112
15,Miami Heat,W,124,114
16,Orlando Magic,L,106,111
17,Utah Jazz,W,113,107
18,Charlotte Hornets,W,122,119
19,Phoenix Suns,W,119,114
20,New Orleans Pelicans,W,121,120
21,Cleveland Cavaliers,L,112,121
22,Brooklyn Nets,W,127,125
23,New York Knicks,W,117,91
24,Washington Wizards,W,123,98
25,Memphis Grizzlies,W,103,95
26,Toronto Raptors,L,102,113
27,Detroit Pistons,W,117,111
28,Detroit Pistons,W,116,102
29,Brooklyn Nets,L,124,127
30,Indiana Pacers,L,101,113
31,Cleveland Cavaliers,W,128,105
32,San Antonio Spurs,L,96,123
33,New York Knicks,W,131,109
34,Toronto Raptors,W,126,101
35,Boston Celtics,L,114,121
36,Utah Jazz,W,114,97
37,Portland Trail Blazers,L,95,129
38,Los Angeles Clippers,W,119,113
39,Phoenix Suns,W,132,127
40,Dallas Mavericks,W,106,100
41,Washington Wizards,W,132,115
42,Washington Wizards,L,106,123
43,Atlanta Hawks,L,121,123
44,New York Knicks,W,108,105
45,Minnesota Timberwolves,W,149,107
46,Indiana Pacers,W,120,96
47,Oklahoma City Thunder,L,115,117
48,Houston Rockets,W,121,93
49,San Antonio Spurs,W,122,120
50,Denver Nuggets,L,110,126
51,Los Angeles Lakers,W,121,105
52,Golden State Warriors,W,113,104
53,Sacramento Kings,L,108,115
54,Toronto Raptors,L,107,119
55,Denver Nuggets,W,117,110
56,Los Angeles Lakers,W,143,120
57,Boston Celtics,L,109,112
58,New York Knicks,W,126,111
59,Miami Heat,W,106,102
60,Portland Trail Blazers,L,115,130
61,New Orleans Pelicans,W,111,110
62,Oklahoma City Thunder,W,108,104
63,Golden State Warriors,L,117,120
64,Orlando Magic,W,114,106
65,Chicago Bulls,L,107,108
66,Houston Rockets,L,91,107
67,Indiana Pacers,W,106,89
68,Cleveland Cavaliers,W,106,99
69,Sacramento Kings,W,123,114
70,Milwaukee Bucks,W,130,125
71,Charlotte Hornets,W,118,114
72,Boston Celtics,W,118,115
73,Atlanta Hawks,L,127,129
74,Orlando Magic,L,98,119
75,Brooklyn Nets,W,123,110
76,Minnesota Timberwolves,W,118,109
77,Dallas Mavericks,L,102,122
78,Atlanta Hawks,L,122,130
79,Milwaukee Bucks,L,122,128
80,Chicago Bulls,W,116,96
81,Miami Heat,L,99,122
82,Chicago Bulls,W,125,109
