G,Opponent,,Tm,Opp
1,Cleveland Cavaliers,W,116,104
2,Boston Celtics,W,113,101
3,Washington Wizards,W,117,113
4,Charlotte Hornets,W,127,106
5,Minnesota Timberwolves,W,112,105
6,Dallas Mavericks,W,116,107
7,Milwaukee Bucks,L,109,124
8,Philadelphia 76ers,W,129,112
9,Phoenix Suns,W,107,98
10,Los Angeles Lakers,W,121,107
11,Utah Jazz,W,124,111
12,Sacramento Kings,W,114,105
13,New York Knicks,W,128,112
14,New Orleans Pelicans,L,110,126
15,Detroit Pistons,L,104,106
16,Boston Celtics,L,116,123
17,Chicago Bulls,W,122,83
18,Orlando Magic,W,93,91
19,Atlanta Hawks,W,124,108
20,Washington Wizards,W,125,107
21,Miami Heat,W,125,115
22,Memphis Grizzlies,W,122,114
23,Golden State Warriors,W,131,128
24,Cleveland Cavaliers,W,106,95
25,Denver Nuggets,L,103,106
26,Philadelphia 76ers,W,113,102
27,Brooklyn Nets,L,105,106
28,Milwaukee Bucks,L,99,104
29,Los Angeles Clippers,W,123,99
30,Golden State Warriors,W,113,93
31,Portland Trail Blazers,L,122,128
32,Denver Nuggets,L,86,95
33,Indiana Pacers,W,99,96
34,Cleveland Cavaliers,W,126,110
35,Philadelphia 76ers,L,101,126
36,Miami Heat,W,106,104
37,Orlando Magic,L,87,116
38,Chicago Bulls,W,95,89
39,Utah Jazz,W,122,116
40,San Antonio Spurs,L,107,125
41,Milwaukee Bucks,W,123,116
42,Indiana Pacers,W,121,105
43,Atlanta Hawks,W,104,101
44,Brooklyn Nets,W,122,105
45,Washington Wizards,W,140,138
46,Boston Celtics,L,108,117
47,Phoenix Suns,W,111,109
48,Memphis Grizzlies,W,119,90
49,Sacramento Kings,W,120,105
50,Indiana Pacers,L,106,110
51,Houston Rockets,L,119,121
52,Dallas Mavericks,W,123,120
53,Milwaukee Bucks,L,92,105
54,Los Angeles Clippers,W,121,103
55,Philadelphia 76ers,W,119,107
56,Atlanta Hawks,W,119,101
57,New York Knicks,W,104,99
58,Brooklyn Nets,W,127,125
59,Washington Wizards,W,129,120
60,San Antonio Spurs,W,120,117
61,Orlando Magic,L,98,113
62,Boston Celtics,W,118,95
63,Portland Trail Blazers,W,119,117
64,Detroit Pistons,L,107,112
65,Houston Rockets,L,95,107
66,New Orleans Pelicans,W,127,104
67,Miami Heat,W,125,104
68,Cleveland Cavaliers,L,101,126
69,Los Angeles Lakers,W,111,98
70,Detroit Pistons,L,107,110
71,New York Knicks,W,128,92
72,Oklahoma City Thunder,W,123,114
73,Oklahoma City Thunder,L,109,116
74,Charlotte Hornets,L,114,115
75,Chicago Bulls,W,112,103
76,New York Knicks,W,117,92
77,Chicago Bulls,W,124,101
78,Orlando Magic,W,121,109
79,Brooklyn Nets,W,115,105
80,Charlotte Hornets,L,111,113
81,Miami Heat,W,117,109
82,Minnesota Timberwolves,W,120,100
