G,Opponent,,Tm,Opp
1,Brooklyn Nets,W,103,100
2,Chicago Bulls,W,118,116
3,Philadelphia 76ers,W,133,132
4,Cleveland Cavaliers,W,110,103
5,Boston Celtics,L,89,109
6,Boston Celtics,L,105,108
7,Brooklyn Nets,L,119,120
8,Philadelphia 76ers,L,99,109
9,Miami Heat,L,115,120
10,Orlando Magic,W,103,96
11,Atlanta Hawks,W,124,109
12,Charlotte Hornets,L,103,113
13,Toronto Raptors,W,106,104
14,Cleveland Cavaliers,W,113,102
15,Houston Rockets,L,124,126
16,Houston Rockets,W,116,111
17,Phoenix Suns,W,118,107
18,New York Knicks,W,115,108
19,Chicago Bulls,W,107,88
20,Golden State Warriors,W,111,102
21,Oklahoma City Thunder,L,83,110
22,Milwaukee Bucks,L,92,115
23,Philadelphia 76ers,L,111,117
24,New Orleans Pelicans,L,108,116
25,Philadelphia 76ers,L,102,116
26,Charlotte Hornets,L,107,108
27,Boston Celtics,W,113,104
28,Milwaukee Bucks,L,104,107
29,Minnesota Timberwolves,W,129,123
30,Charlotte Hornets,L,86,98
31,Atlanta Hawks,L,95,98
32,Washington Wizards,W,106,95
33,Indiana Pacers,L,88,125
34,Orlando Magic,L,107,109
35,Milwaukee Bucks,L,98,121
36,Memphis Grizzlies,W,101,94
37,Utah Jazz,L,105,110
38,San Antonio Spurs,L,107,119
39,Los Angeles Lakers,L,100,113
40,Sacramento Kings,L,102,112
41,Los Angeles Clippers,W,109,104
42,Utah Jazz,L,94,100
43,Orlando Magic,W,120,115
44,Miami Heat,W,98,93
45,Sacramento Kings,L,101,103
46,Washington Wizards,L,87,101
47,New Orleans Pelicans,W,98,94
48,Dallas Mavericks,L,101,106
49,Milwaukee Bucks,L,105,115
50,Dallas Mavericks,W,93,89
51,Los Angeles Clippers,L,101,111
52,Denver Nuggets,W,129,103
53,New York Knicks,W,105,92
54,New York Knicks,W,120,103
55,Washington Wizards,W,121,112
56,Boston Celtics,L,110,118
57,Atlanta Hawks,W,125,122
58,Miami Heat,W,119,96
59,Indiana Pacers,W,113,109
60,San Antonio Spurs,L,93,105
61,Cleveland Cavaliers,W,129,93
62,Toronto Raptors,W,112,107
63,Minnesota Timberwolves,W,131,114
64,Chicago Bulls,W,112,104
65,Chicago Bulls,W,131,108
66,Brooklyn Nets,L,75,103
67,Miami Heat,L,74,108
68,Los Angeles Lakers,W,111,97
69,Toronto Raptors,W,110,107
70,Cleveland Cavaliers,L,119,126
71,Phoenix Suns,W,118,98
72,Portland Trail Blazers,L,112,117
73,Golden State Warriors,L,114,121
74,Denver Nuggets,L,92,95
75,Orlando Magic,W,115,98
76,Portland Trail Blazers,W,99,90
77,Indiana Pacers,L,102,111
78,Indiana Pacers,L,89,108
79,Oklahoma City Thunder,L,110,123
80,Charlotte Hornets,L,91,104
81,Memphis Grizzlies,W,100,93
82,New York Knicks,W,115,89
