G,Opponent,,Tm,Opp
1,Memphis Grizzlies,W,111,83
2,Milwaukee Bucks,L,101,118
3,Brooklyn Nets,W,132,112
4,Minnesota Timberwolves,L,91,101
5,San Antonio Spurs,W,116,96
6,Cleveland Cavaliers,W,119,107
7,Portland Trail Blazers,L,93,103
8,New York Knicks,W,107,101
9,Chicago Bulls,W,107,105
10,Boston Celtics,W,102,101
11,Houston Rockets,L,94,98
12,Philadelphia 76ers,L,94,100
13,Miami Heat,W,110,102
14,Houston Rockets,L,103,115
15,Miami Heat,W,99,91
16,Atlanta Hawks,W,97,89
17,Utah Jazz,W,121,94
18,Charlotte Hornets,L,109,127
19,San Antonio Spurs,L,100,111
20,Utah Jazz,W,121,88
21,Phoenix Suns,W,109,104
22,Los Angeles Lakers,L,96,104
23,Sacramento Kings,L,110,111
24,Chicago Bulls,W,96,90
25,Orlando Magic,W,112,90
26,Sacramento Kings,W,107,97
27,Washington Wizards,W,109,101
28,Milwaukee Bucks,W,113,97
29,Philadelphia 76ers,W,113,101
30,New York Knicks,W,110,99
31,Cleveland Cavaliers,L,91,92
32,Toronto Raptors,L,96,99
33,Brooklyn Nets,W,114,106
34,Washington Wizards,W,105,89
35,Atlanta Hawks,W,129,121
36,Detroit Pistons,W,125,88
37,Atlanta Hawks,W,116,108
38,Chicago Bulls,W,119,116
39,Toronto Raptors,L,105,121
40,Cleveland Cavaliers,W,123,115
41,Boston Celtics,L,108,135
42,New York Knicks,W,121,106
43,Phoenix Suns,W,131,97
44,Philadelphia 76ers,L,96,120
45,Dallas Mavericks,W,111,99
46,Charlotte Hornets,W,120,95
47,Toronto Raptors,W,110,106
48,Memphis Grizzlies,L,103,106
49,Golden State Warriors,L,100,132
50,Washington Wizards,L,89,107
51,Orlando Magic,L,100,107
52,Miami Heat,W,95,88
53,New Orleans Pelicans,W,109,107
54,Los Angeles Lakers,W,136,94
55,Los Angeles Clippers,W,116,92
56,Cleveland Cavaliers,W,105,90
57,Charlotte Hornets,W,99,90
58,Milwaukee Bucks,L,97,106
59,New Orleans Pelicans,W,126,111
60,Washington Wizards,W,119,112
61,Detroit Pistons,L,109,113
62,Dallas Mavericks,L,101,110
63,Minnesota Timberwolves,W,122,115
64,Orlando Magic,L,112,117
65,Chicago Bulls,W,105,96
66,Milwaukee Bucks,L,98,117
67,Philadelphia 76ers,L,89,106
68,New York Knicks,W,103,98
69,Oklahoma City Thunder,W,108,106
70,Denver Nuggets,L,100,102
71,Portland Trail Blazers,L,98,106
72,Los Angeles Clippers,L,109,115
73,Golden State Warriors,L,89,112
74,Denver Nuggets,W,124,88
75,Oklahoma City Thunder,L,99,107
76,Boston Celtics,L,112,114
77,Orlando Magic,L,116,121
78,Detroit Pistons,W,111,102
79,Detroit Pistons,W,108,89
80,Boston Celtics,L,97,117
81,Brooklyn Nets,L,96,108
82,Atlanta Hawks,W,135,134
