G,Opponent,,Tm,Opp
1,Charlotte Hornets,W,113,112
2,Indiana Pacers,W,118,101
3,New York Knicks,W,124,113
4,Philadelphia 76ers,W,123,108
5,Minnesota Timberwolves,W,125,95
6,Orlando Magic,W,113,91
7,Toronto Raptors,W,124,109
8,Boston Celtics,L,113,117
9,Sacramento Kings,W,144,109
10,Portland Trail Blazers,L,103,118
11,Golden State Warriors,W,134,111
12,Los Angeles Clippers,L,126,128
13,Denver Nuggets,W,121,114
14,Memphis Grizzlies,L,113,116
15,Chicago Bulls,W,123,104
16,Denver Nuggets,W,104,98
17,Portland Trail Blazers,W,143,100
18,Phoenix Suns,L,114,116
19,San Antonio Spurs,W,135,129
20,Charlotte Hornets,L,107,110
21,Chicago Bulls,W,116,113
22,New York Knicks,L,134,136
23,Detroit Pistons,W,115,92
24,Golden State Warriors,L,95,105
25,Toronto Raptors,W,104,99
26,Cleveland Cavaliers,W,108,92
27,Indiana Pacers,L,97,113
28,Cleveland Cavaliers,W,114,102
29,Detroit Pistons,W,107,104
30,New Orleans Pelicans,W,123,115
31,Boston Celtics,W,120,107
32,Miami Heat,L,87,94
33,New York Knicks,W,109,95
34,New York Knicks,W,112,96
35,Brooklyn Nets,W,129,115
36,Detroit Pistons,W,121,98
37,Atlanta Hawks,W,144,112
38,Toronto Raptors,L,116,123
39,Utah Jazz,W,114,102
40,Houston Rockets,W,116,109
41,Washington Wizards,L,106,113
42,Atlanta Hawks,W,133,114
43,Miami Heat,W,124,86
44,Memphis Grizzlies,W,111,101
45,Orlando Magic,W,118,108
46,Dallas Mavericks,W,116,106
47,Charlotte Hornets,W,108,99
48,Oklahoma City Thunder,L,112,118
49,Detroit Pistons,W,115,105
50,Toronto Raptors,W,105,92
51,Washington Wizards,W,131,115
52,Brooklyn Nets,W,113,94
53,Washington Wizards,W,148,129
54,Dallas Mavericks,W,122,107
55,Orlando Magic,L,83,103
56,Chicago Bulls,W,112,99
57,Indiana Pacers,W,106,97
58,Boston Celtics,W,98,97
59,Minnesota Timberwolves,W,140,128
60,Chicago Bulls,W,117,106
61,Sacramento Kings,W,141,140
62,Los Angeles Lakers,W,131,120
63,Utah Jazz,L,111,115
64,Phoenix Suns,L,105,114
65,Indiana Pacers,W,117,98
66,Charlotte Hornets,W,131,114
67,San Antonio Spurs,L,114,121
68,New Orleans Pelicans,W,130,113
69,Miami Heat,W,113,98
70,Philadelphia 76ers,L,125,130
71,Los Angeles Lakers,W,115,101
72,Cleveland Cavaliers,L,102,107
73,Miami Heat,W,116,87
74,Cleveland Cavaliers,W,127,105
75,Houston Rockets,W,108,94
76,Los Angeles Clippers,W,128,118
77,Atlanta Hawks,L,135,136
78,Brooklyn Nets,W,131,121
79,Philadelphia 76ers,W,128,122
80,Brooklyn Nets,L,128,133
81,Atlanta Hawks,W,115,107
82,Oklahoma City Thunder,L,116,127
