G,Opponent,,Tm,Opp
1,Los Angeles Clippers,W,107,98
2,Phoenix Suns,W,119,91
3,Golden State Warriors,W,100,98
4,Sacramento Kings,W,126,112
5,Los Angeles Lakers,L,114,121
6,New Orleans Pelicans,W,116,111
7,Chicago Bulls,W,108,107
8,Cleveland Cavaliers,W,110,91
9,Utah Jazz,W,103,88
10,Boston Celtics,W,115,107
11,Memphis Grizzlies,L,87,89
12,Brooklyn Nets,L,110,112
13,Milwaukee Bucks,L,114,121
14,Houston Rockets,L,99,109
15,Atlanta Hawks,W,138,93
16,New Orleans Pelicans,L,115,125
17,Milwaukee Bucks,L,98,104
18,Minnesota Timberwolves,W,103,101
19,Orlando Magic,W,112,87
20,Oklahoma City Thunder,W,105,98
21,Los Angeles Lakers,W,117,85
22,Portland Trail Blazers,W,113,112
23,Toronto Raptors,W,106,103
24,Orlando Magic,W,124,118
25,Charlotte Hornets,L,107,113
26,Atlanta Hawks,L,98,106
27,Memphis Grizzlies,W,105,99
28,Oklahoma City Thunder,W,109,98
29,Toronto Raptors,W,95,86
30,Dallas Mavericks,W,126,118
31,Los Angeles Clippers,L,111,132
32,San Antonio Spurs,L,103,111
33,San Antonio Spurs,W,102,99
34,Phoenix Suns,W,122,118
35,New York Knicks,W,115,108
36,Sacramento Kings,W,117,113
37,Charlotte Hornets,W,123,110
38,Houston Rockets,L,113,125
39,Miami Heat,W,103,99
40,Los Angeles Clippers,W,121,100
41,Phoenix Suns,L,93,102
42,Portland Trail Blazers,W,116,113
43,Golden State Warriors,L,111,142
44,Chicago Bulls,W,135,105
45,Cleveland Cavaliers,W,124,102
46,Utah Jazz,L,108,114
47,Phoenix Suns,W,132,95
48,Philadelphia 76ers,W,126,110
49,Memphis Grizzlies,W,95,92
50,New Orleans Pelicans,W,105,99
51,Houston Rockets,W,136,122
52,Minnesota Timberwolves,W,107,106
53,Detroit Pistons,L,103,129
54,Brooklyn Nets,L,130,135
55,Philadelphia 76ers,L,110,117
56,Miami Heat,W,103,87
57,Sacramento Kings,W,120,118
58,Dallas Mavericks,W,114,104
59,Los Angeles Clippers,W,123,96
60,Oklahoma City Thunder,W,121,112
61,Utah Jazz,L,104,111
62,New Orleans Pelicans,L,112,120
63,San Antonio Spurs,L,103,104
64,Los Angeles Lakers,W,115,99
65,Golden State Warriors,L,105,122
66,Minnesota Timberwolves,W,133,107
67,Dallas Mavericks,W,100,99
68,Indiana Pacers,W,102,100
69,Boston Celtics,W,114,105
70,Washington Wizards,W,113,108
71,New York Knicks,W,111,93
72,Indiana Pacers,L,88,124
73,Detroit Pistons,W,95,92
74,Houston Rockets,L,85,112
75,Oklahoma City Thunder,W,115,105
76,Washington Wizards,L,90,95
77,Golden State Warriors,L,102,116
78,San Antonio Spurs,W,113,85
79,Portland Trail Blazers,W,119,110
80,Portland Trail Blazers,L,108,115
81,Utah Jazz,L,108,118
82,Minnesota Timberwolves,W,99,95
