G,Opponent,,Tm,Opp
1,Golden State Warriors,L,100,108
2,Los Angeles Clippers,L,92,108
3,Sacramento Kings,L,120,131
4,Boston Celtics,L,95,101
5,Phoenix Suns,W,117,110
6,Los Angeles Clippers,W,128,110
7,Charlotte Hornets,W,111,107
8,Washington Wizards,W,134,111
9,New Orleans Pelicans,W,122,116
10,Cleveland Cavaliers,W,95,86
11,Houston Rockets,W,98,80
12,Dallas Mavericks,L,96,111
13,Phoenix Suns,W,118,101
14,New York Knicks,W,128,103
15,Phoenix Suns,W,110,100
16,Sacramento Kings,L,113,117
17,Golden State Warriors,W,123,95
18,Charlotte Hornets,W,109,104
19,Denver Nuggets,L,98,105
20,Cleveland Cavaliers,W,100,83
21,Atlanta Hawks,W,124,109
22,Detroit Pistons,W,110,83
23,Brooklyn Nets,W,114,112
24,Chicago Bulls,L,112,114
25,Utah Jazz,W,122,113
26,New Orleans Pelicans,L,114,118
27,Denver Nuggets,L,98,109
28,Los Angeles Clippers,W,110,104
29,Chicago Bulls,W,121,96
30,Sacramento Kings,W,132,113
31,Utah Jazz,W,107,106
32,Minnesota Timberwolves,L,112,114
33,Houston Rockets,L,109,113
34,Phoenix Suns,W,118,102
35,Dallas Mavericks,L,103,105
36,Dallas Mavericks,W,122,102
37,Los Angeles Lakers,W,107,100
38,Portland Trail Blazers,W,111,109
39,Washington Wizards,L,98,116
40,Minnesota Timberwolves,L,117,119
41,San Antonio Spurs,L,147,154
42,San Antonio Spurs,W,122,112
43,Atlanta Hawks,L,126,142
44,Los Angeles Lakers,L,128,138
45,Philadelphia 76ers,W,117,115
46,New York Knicks,W,127,109
47,Portland Trail Blazers,W,123,114
48,New Orleans Pelicans,W,122,116
49,Milwaukee Bucks,W,118,112
50,Orlando Magic,W,126,117
51,Miami Heat,W,118,102
52,Boston Celtics,L,129,134
53,Orlando Magic,W,132,122
54,Memphis Grizzlies,W,117,95
55,Houston Rockets,W,117,112
56,Portland Trail Blazers,W,120,111
57,New Orleans Pelicans,L,122,131
58,Utah Jazz,W,148,147
59,Sacramento Kings,L,116,119
60,Denver Nuggets,L,112,121
61,Philadelphia 76ers,L,104,108
62,San Antonio Spurs,L,102,116
63,Memphis Grizzlies,W,99,95
64,Minnesota Timberwolves,L,120,131
65,Portland Trail Blazers,W,129,121
66,Los Angeles Clippers,L,110,118
67,Utah Jazz,W,98,89
68,Brooklyn Nets,W,108,96
69,Indiana Pacers,L,106,108
70,Golden State Warriors,L,88,110
71,Miami Heat,L,107,116
72,Toronto Raptors,L,114,123
73,Toronto Raptors,W,116,109
74,Memphis Grizzlies,L,103,115
75,Indiana Pacers,W,107,99
76,Denver Nuggets,L,105,115
77,Dallas Mavericks,L,103,106
78,Los Angeles Lakers,W,119,103
79,Detroit Pistons,W,123,110
80,Minnesota Timberwolves,W,132,126
81,Houston Rockets,W,112,111
82,Milwaukee Bucks,W,127,116
