G,Opponent,,Tm,Opp
1,Los Angeles Lakers,W,128,119
2,San Antonio Spurs,W,121,108
3,Washington Wizards,L,124,125
4,Orlando Magic,W,128,114
5,Miami Heat,L,111,120
6,Indiana Pacers,W,103,93
7,Houston Rockets,W,104,85
8,New Orleans Pelicans,W,132,119
9,Los Angeles Lakers,L,110,114
10,Minnesota Timberwolves,W,111,81
11,Milwaukee Bucks,W,118,103
12,Los Angeles Clippers,W,116,105
13,Boston Celtics,W,100,94
14,Los Angeles Lakers,L,117,126
15,Minnesota Timberwolves,L,96,112
16,Washington Wizards,W,119,109
17,New York Knicks,W,118,114
18,Milwaukee Bucks,L,100,143
19,Golden State Warriors,L,97,125
20,Los Angeles Clippers,L,100,104
21,Orlando Magic,W,115,112
22,Denver Nuggets,L,112,113
23,San Antonio Spurs,L,118,131
24,Dallas Mavericks,L,102,111
25,Phoenix Suns,W,108,86
26,Minnesota Timberwolves,W,113,105
27,Houston Rockets,L,104,111
28,Memphis Grizzlies,L,83,92
29,Toronto Raptors,W,128,122
30,Los Angeles Clippers,W,131,127
31,Memphis Grizzlies,W,99,92
32,Utah Jazz,L,90,120
33,Dallas Mavericks,W,121,118
34,Utah Jazz,L,96,117
35,Golden State Warriors,W,110,109
36,Golden State Warriors,L,105,115
37,Philadelphia 76ers,W,129,95
38,Sacramento Kings,W,113,108
39,Oklahoma City Thunder,L,109,111
40,Houston Rockets,W,110,101
41,New York Knicks,W,111,101
42,Chicago Bulls,W,124,112
43,Charlotte Hornets,W,127,96
44,Denver Nuggets,L,113,116
45,Sacramento Kings,L,107,115
46,Cleveland Cavaliers,W,129,112
47,New Orleans Pelicans,W,128,112
48,Utah Jazz,W,109,104
49,Oklahoma City Thunder,L,114,123
50,Phoenix Suns,W,120,106
51,Atlanta Hawks,W,120,111
52,Utah Jazz,W,132,105
53,Miami Heat,L,108,118
54,San Antonio Spurs,W,127,118
55,Dallas Mavericks,L,101,102
56,Oklahoma City Thunder,L,111,120
57,Golden State Warriors,W,129,107
58,Brooklyn Nets,W,113,99
59,Philadelphia 76ers,W,130,115
60,Cleveland Cavaliers,W,123,110
61,Boston Celtics,W,97,92
62,Toronto Raptors,L,117,119
63,Charlotte Hornets,W,118,108
64,Memphis Grizzlies,L,111,120
65,Oklahoma City Thunder,L,121,129
66,Phoenix Suns,W,127,120
67,Los Angeles Clippers,W,125,104
68,New Orleans Pelicans,W,122,110
69,San Antonio Spurs,L,103,108
70,Indiana Pacers,W,106,98
71,Dallas Mavericks,W,126,118
72,Detroit Pistons,W,117,112
73,Brooklyn Nets,W,148,144
74,Chicago Bulls,W,118,98
75,Atlanta Hawks,W,118,98
76,Detroit Pistons,L,90,99
77,Minnesota Timberwolves,W,132,122
78,Memphis Grizzlies,W,116,89
79,Denver Nuggets,L,110,119
80,Denver Nuggets,W,115,108
81,Los Angeles Lakers,W,104,101
82,Sacramento Kings,W,136,131
