G,Opponent,,Tm,Opp
1,Sacramento Kings,W,123,117
2,Golden State Warriors,L,123,124
3,Memphis Grizzlies,L,84,92
4,Houston Rockets,W,100,89
5,New Orleans Pelicans,W,132,111
6,Dallas Mavericks,W,113,104
7,Minnesota Timberwolves,L,125,128
8,Memphis Grizzlies,L,100,110
9,Denver Nuggets,L,88,103
10,Toronto Raptors,L,111,124
11,Dallas Mavericks,W,117,102
12,Boston Celtics,W,123,115
13,Memphis Grizzlies,W,96,88
14,Dallas Mavericks,L,68,118
15,Philadelphia 76ers,L,107,113
16,Boston Celtics,W,98,86
17,Indiana Pacers,L,94,121
18,Sacramento Kings,L,110,119
19,Los Angeles Lakers,L,83,90
20,Sacramento Kings,W,133,112
21,Indiana Pacers,L,88,121
22,Brooklyn Nets,W,101,91
23,Charlotte Hornets,W,119,111
24,Miami Heat,L,100,102
25,San Antonio Spurs,W,139,105
26,Houston Rockets,W,118,91
27,San Antonio Spurs,L,97,110
28,Oklahoma City Thunder,L,113,122
29,Miami Heat,W,111,84
30,Orlando Magic,L,89,96
31,Houston Rockets,L,97,102
32,Golden State Warriors,W,108,103
33,Portland Trail Blazers,W,120,90
34,Oklahoma City Thunder,L,106,107
35,Portland Trail Blazers,W,117,96
36,Philadelphia 76ers,L,97,114
37,New York Knicks,W,129,97
38,Toronto Raptors,L,116,122
39,Cleveland Cavaliers,W,117,91
40,Detroit Pistons,W,110,105
41,Milwaukee Bucks,L,102,114
42,Orlando Magic,W,106,93
43,Los Angeles Lakers,W,113,95
44,Chicago Bulls,W,110,102
45,Detroit Pistons,W,100,94
46,Los Angeles Clippers,W,129,109
47,Cleveland Cavaliers,W,115,99
48,Portland Trail Blazers,L,104,109
49,Denver Nuggets,W,114,108
50,Minnesota Timberwolves,W,106,102
51,Minnesota Timberwolves,W,125,111
52,Portland Trail Blazers,L,105,132
53,Atlanta Hawks,W,128,112
54,Houston Rockets,L,98,125
55,Phoenix Suns,W,116,88
56,San Antonio Spurs,W,125,105
57,Golden State Warriors,L,108,115
58,Oklahoma City Thunder,L,147,148
59,Dallas Mavericks,W,125,109
60,Los Angeles Clippers,W,111,105
61,Denver Nuggets,W,111,104
62,Milwaukee Bucks,W,115,111
63,New Orleans Pelicans,L,112,115
64,New Orleans Pelicans,W,114,104
65,Memphis Grizzlies,L,104,114
66,Oklahoma City Thunder,L,89,98
67,Phoenix Suns,W,114,97
68,Minnesota Timberwolves,W,120,100
69,Brooklyn Nets,W,114,98
70,Washington Wizards,W,116,95
71,New York Knicks,W,137,116
72,Atlanta Hawks,L,114,117
73,Chicago Bulls,W,114,83
74,Phoenix Suns,W,125,92
75,Los Angeles Lakers,W,115,100
76,Washington Wizards,W,128,124
77,Charlotte Hornets,W,111,102
78,Phoenix Suns,W,118,97
79,Sacramento Kings,W,119,98
80,Los Angeles Lakers,L,109,113
81,Denver Nuggets,W,118,108
82,Los Angeles Clippers,L,137,143
