G,Opponent,,Tm,Opp
1,Oklahoma City Thunder,W,108,100
2,Utah Jazz,W,124,123
3,Denver Nuggets,L,98,100
4,Phoenix Suns,W,123,103
5,Washington Wizards,W,144,122
6,New York Knicks,W,128,100
7,Brooklyn Nets,W,120,114
8,Chicago Bulls,W,149,124
9,New Orleans Pelicans,W,131,121
10,Minnesota Timberwolves,W,116,99
11,Memphis Grizzlies,W,117,101
12,Milwaukee Bucks,L,111,134
13,Brooklyn Nets,W,116,100
14,Los Angeles Clippers,L,116,121
15,Atlanta Hawks,W,110,103
16,Houston Rockets,L,86,107
17,Dallas Mavericks,L,109,112
18,San Antonio Spurs,L,92,104
19,Oklahoma City Thunder,L,95,123
20,Portland Trail Blazers,W,125,97
21,Sacramento Kings,W,117,116
22,Orlando Magic,W,116,110
23,Toronto Raptors,L,128,131
24,Detroit Pistons,L,102,111
25,Atlanta Hawks,W,128,111
26,Cleveland Cavaliers,W,129,105
27,Milwaukee Bucks,W,105,95
28,Minnesota Timberwolves,W,116,108
29,Toronto Raptors,L,93,113
30,Sacramento Kings,W,130,125
31,Memphis Grizzlies,W,110,93
32,Utah Jazz,L,103,108
33,Dallas Mavericks,W,120,116
34,Los Angeles Clippers,W,129,127
35,Los Angeles Lakers,L,101,127
36,Portland Trail Blazers,L,109,110
37,Portland Trail Blazers,W,115,105
38,Phoenix Suns,W,132,109
39,Houston Rockets,L,134,135
40,Sacramento Kings,W,127,123
41,New York Knicks,W,122,95
42,Chicago Bulls,W,146,109
43,Dallas Mavericks,W,119,114
44,Denver Nuggets,W,142,111
45,New Orleans Pelicans,W,147,140
46,Los Angeles Clippers,W,112,94
47,Los Angeles Lakers,W,130,111
48,Washington Wizards,W,126,118
49,Boston Celtics,W,115,111
50,Indiana Pacers,W,132,100
51,Philadelphia 76ers,L,104,113
52,Los Angeles Lakers,W,115,101
53,San Antonio Spurs,W,141,102
54,Phoenix Suns,W,117,107
55,Miami Heat,W,120,118
56,Utah Jazz,W,115,108
57,Portland Trail Blazers,L,107,129
58,Sacramento Kings,W,125,123
59,Houston Rockets,L,112,118
60,Charlotte Hornets,W,121,110
61,Miami Heat,L,125,126
62,Orlando Magic,L,96,103
63,Philadelphia 76ers,W,120,117
64,Boston Celtics,L,95,128
65,Denver Nuggets,W,122,105
66,Phoenix Suns,L,111,115
67,Houston Rockets,W,106,104
68,Oklahoma City Thunder,W,110,88
69,San Antonio Spurs,L,105,111
70,Minnesota Timberwolves,W,117,107
71,Indiana Pacers,W,112,89
72,Dallas Mavericks,L,91,126
73,Detroit Pistons,W,121,114
74,Memphis Grizzlies,W,118,103
75,Minnesota Timberwolves,L,130,131
76,Charlotte Hornets,W,137,90
77,Denver Nuggets,W,116,102
78,Los Angeles Lakers,W,108,90
79,Cleveland Cavaliers,W,120,114
80,Los Angeles Clippers,W,131,104
81,New Orleans Pelicans,W,112,103
82,Memphis Grizzlies,L,117,132
