G,Opponent,,Tm,Opp
1,Denver Nuggets,L,98,107
2,Oklahoma City Thunder,W,108,92
3,Houston Rockets,W,115,112
4,New Orleans Pelicans,L,109,116
5,Houston Rockets,W,133,113
6,Washington Wizards,W,136,104
7,Oklahoma City Thunder,L,110,128
8,Philadelphia 76ers,L,113,122
9,Orlando Magic,W,120,95
10,Minnesota Timberwolves,W,120,109
11,Portland Trail Blazers,L,105,116
12,Milwaukee Bucks,W,128,126
13,Golden State Warriors,W,121,116
14,San Antonio Spurs,W,116,111
15,Brooklyn Nets,W,127,119
16,Atlanta Hawks,W,127,119
17,Washington Wizards,L,118,125
18,Memphis Grizzlies,W,112,107
19,Portland Trail Blazers,W,104,100
20,Phoenix Suns,W,115,99
21,Sacramento Kings,W,133,121
22,Dallas Mavericks,L,110,114
23,New Orleans Pelicans,W,129,126
24,Memphis Grizzlies,L,86,96
25,Miami Heat,L,98,121
26,Phoenix Suns,W,123,119
27,Toronto Raptors,L,99,123
28,San Antonio Spurs,L,87,125
29,Oklahoma City Thunder,L,104,110
30,Portland Trail Blazers,L,127,131
31,Dallas Mavericks,W,125,121
32,Denver Nuggets,W,132,111
33,Golden State Warriors,L,127,129
34,Sacramento Kings,W,127,118
35,Los Angeles Lakers,W,118,107
36,San Antonio Spurs,L,111,122
37,Philadelphia 76ers,L,113,119
38,Phoenix Suns,W,121,111
39,Orlando Magic,W,106,96
40,Charlotte Hornets,W,128,109
41,Denver Nuggets,L,100,121
42,Detroit Pistons,L,104,109
43,New Orleans Pelicans,L,117,121
44,Utah Jazz,L,109,129
45,Golden State Warriors,L,94,112
46,San Antonio Spurs,W,103,95
47,Dallas Mavericks,L,98,106
48,Miami Heat,W,111,99
49,Chicago Bulls,W,106,101
50,Sacramento Kings,W,122,108
51,Atlanta Hawks,L,118,123
52,Los Angeles Lakers,L,120,123
53,Detroit Pistons,W,111,101
54,Toronto Raptors,L,103,121
55,Charlotte Hornets,W,117,115
56,Indiana Pacers,L,92,116
57,Boston Celtics,W,123,112
58,Minnesota Timberwolves,L,120,130
59,Phoenix Suns,W,134,107
60,Memphis Grizzlies,W,112,106
61,Denver Nuggets,L,96,123
62,Dallas Mavericks,W,121,112
63,Utah Jazz,L,105,111
64,Sacramento Kings,W,116,109
65,New York Knicks,W,128,107
66,Los Angeles Lakers,W,113,105
67,Oklahoma City Thunder,W,118,110
68,Boston Celtics,W,140,115
69,Portland Trail Blazers,L,104,125
70,Chicago Bulls,W,128,121
71,Brooklyn Nets,W,119,116
72,Indiana Pacers,W,115,109
73,Cleveland Cavaliers,W,110,108
74,New York Knicks,W,124,113
75,Minnesota Timberwolves,W,122,111
76,Milwaukee Bucks,L,118,128
77,Cleveland Cavaliers,W,132,108
78,Memphis Grizzlies,W,113,96
79,Houston Rockets,L,103,135
80,Los Angeles Lakers,L,117,122
81,Golden State Warriors,L,104,131
82,Utah Jazz,W,143,137
