G,Opponent,,Tm,Opp
1,Miami Heat,W,104,101
2,Charlotte Hornets,L,88,120
3,Philadelphia 76ers,L,115,116
4,Boston Celtics,W,93,90
5,Portland Trail Blazers,L,114,128
6,Milwaukee Bucks,L,91,113
7,Sacramento Kings,L,99,107
8,Los Angeles Clippers,L,95,120
9,San Antonio Spurs,W,117,110
10,Cleveland Cavaliers,W,102,100
11,Detroit Pistons,L,96,103
12,Washington Wizards,W,117,108
13,New York Knicks,W,115,89
14,Washington Wizards,L,109,117
15,Philadelphia 76ers,W,111,106
16,Los Angeles Lakers,W,130,117
17,New York Knicks,W,131,117
18,Toronto Raptors,L,91,93
19,Denver Nuggets,L,87,112
20,Los Angeles Lakers,W,108,104
21,Golden State Warriors,L,110,116
22,Portland Trail Blazers,L,112,115
23,Phoenix Suns,W,99,85
24,Miami Heat,W,105,90
25,Denver Nuggets,L,118,124
26,Indiana Pacers,L,90,112
27,Dallas Mavericks,L,76,101
28,Chicago Bulls,W,97,91
29,Utah Jazz,W,96,89
30,San Antonio Spurs,L,90,129
31,Chicago Bulls,L,80,90
32,Miami Heat,L,91,115
33,Phoenix Suns,L,120,122
34,Toronto Raptors,W,116,87
35,Detroit Pistons,W,109,107
36,Charlotte Hornets,L,100,125
37,Chicago Bulls,W,112,84
38,Minnesota Timberwolves,L,103,120
39,Los Angeles Clippers,L,96,106
40,Sacramento Kings,L,95,111
41,Utah Jazz,L,93,106
42,Boston Celtics,W,105,103
43,Houston Rockets,W,116,109
44,Detroit Pistons,L,115,120
45,Brooklyn Nets,L,115,117
46,Milwaukee Bucks,L,108,118
47,Atlanta Hawks,W,122,103
48,Brooklyn Nets,L,110,114
49,Washington Wizards,L,91,95
50,Houston Rockets,L,98,103
51,Oklahoma City Thunder,L,117,126
52,Indiana Pacers,W,107,100
53,Brooklyn Nets,W,102,89
54,Oklahoma City Thunder,L,122,132
55,Minnesota Timberwolves,W,122,112
56,Milwaukee Bucks,W,103,83
57,Atlanta Hawks,W,124,108
58,New Orleans Pelicans,W,118,88
59,Charlotte Hornets,W,127,89
60,Chicago Bulls,L,109,110
61,Toronto Raptors,W,113,98
62,New York Knicks,L,103,108
63,Golden State Warriors,W,103,96
64,Indiana Pacers,W,117,112
65,Cleveland Cavaliers,L,93,107
66,Philadelphia 76ers,L,106,114
67,Dallas Mavericks,W,111,106
68,Memphis Grizzlies,L,97,105
69,Washington Wizards,L,90,100
70,Cleveland Cavaliers,W,120,91
71,Atlanta Hawks,W,101,91
72,New Orleans Pelicans,W,119,96
73,Memphis Grizzlies,W,123,119
74,Philadelphia 76ers,W,119,98
75,Miami Heat,W,104,99
76,Detroit Pistons,L,98,115
77,Indiana Pacers,W,121,116
78,Toronto Raptors,L,109,121
79,New York Knicks,W,114,100
80,Atlanta Hawks,W,149,113
81,Boston Celtics,W,116,108
82,Charlotte Hornets,W,122,114
