G,Opponent,,Tm,Opp
1,New Orleans Pelicans,L,112,131
2,Los Angeles Lakers,W,124,115
3,Los Angeles Clippers,L,112,115
4,Utah Jazz,L,89,100
5,Los Angeles Clippers,L,113,133
6,Portland Trail Blazers,L,85,104
7,Brooklyn Nets,W,119,111
8,Chicago Bulls,W,96,88
9,Indiana Pacers,W,98,94
10,Oklahoma City Thunder,L,80,98
11,San Antonio Spurs,L,89,96
12,Indiana Pacers,W,115,103
13,Denver Nuggets,W,109,99
14,Golden State Warriors,W,107,86
15,Sacramento Kings,W,132,112
16,Detroit Pistons,W,126,124
17,Detroit Pistons,L,111,116
18,Cleveland Cavaliers,L,108,117
19,Washington Wizards,L,131,135
20,Dallas Mavericks,L,108,128
21,San Antonio Spurs,W,136,105
22,Chicago Bulls,W,121,105
23,Minnesota Timberwolves,L,91,103
24,Utah Jazz,L,91,118
25,Dallas Mavericks,L,104,107
26,Portland Trail Blazers,W,111,104
27,Los Angeles Lakers,W,126,111
28,Memphis Grizzlies,W,105,97
29,Utah Jazz,W,102,97
30,Washington Wizards,W,136,118
31,Miami Heat,L,99,101
32,San Antonio Spurs,W,108,101
33,Oklahoma City Thunder,W,113,109
34,Boston Celtics,W,127,113
35,New Orleans Pelicans,W,108,104
36,Memphis Grizzlies,W,113,101
37,Golden State Warriors,W,135,134
38,Portland Trail Blazers,L,101,110
39,Denver Nuggets,W,125,113
40,Milwaukee Bucks,L,109,116
41,Cleveland Cavaliers,W,141,113
42,Orlando Magic,L,109,116
43,Memphis Grizzlies,W,112,94
44,Brooklyn Nets,L,142,145
45,Los Angeles Lakers,W,138,134
46,Philadelphia 76ers,L,93,121
47,New York Knicks,W,114,110
48,Toronto Raptors,W,121,119
49,Orlando Magic,W,103,98
50,New Orleans Pelicans,L,116,121
51,Denver Nuggets,L,122,136
52,Utah Jazz,W,125,98
53,Phoenix Suns,W,118,110
54,Sacramento Kings,W,127,101
55,Oklahoma City Thunder,L,112,117
56,Dallas Mavericks,W,120,104
57,Minnesota Timberwolves,L,111,121
58,Los Angeles Lakers,L,106,111
59,Golden State Warriors,W,118,112
60,Atlanta Hawks,W,119,111
61,Charlotte Hornets,W,118,113
62,Miami Heat,W,121,118
63,Boston Celtics,W,115,104
64,Toronto Raptors,W,107,95
65,Philadelphia 76ers,W,107,91
66,Dallas Mavericks,W,94,93
67,Charlotte Hornets,W,118,106
68,Golden State Warriors,L,104,106
69,Phoenix Suns,W,108,102
70,Minnesota Timberwolves,W,117,102
71,Atlanta Hawks,W,121,105
72,Memphis Grizzlies,L,125,126
73,San Antonio Spurs,W,111,105
74,New Orleans Pelicans,W,113,90
75,Milwaukee Bucks,L,94,108
76,Denver Nuggets,W,112,85
77,Sacramento Kings,W,119,108
78,Sacramento Kings,W,130,105
79,Los Angeles Clippers,W,135,103
80,New York Knicks,W,120,96
81,Phoenix Suns,W,149,113
82,Oklahoma City Thunder,L,111,112
