G,Opponent,,Tm,Opp
1,Minnesota Timberwolves,W,112,108
2,Portland Trail Blazers,L,108,121
3,Los Angeles Lakers,W,143,142
4,Indiana Pacers,L,96,116
5,Los Angeles Lakers,W,110,106
6,Dallas Mavericks,W,113,108
7,Phoenix Suns,W,120,90
8,New Orleans Pelicans,W,109,95
9,Orlando Magic,L,110,117
10,Miami Heat,L,88,95
11,Houston Rockets,W,96,89
12,Sacramento Kings,L,99,104
13,Phoenix Suns,L,96,116
14,Los Angeles Clippers,L,111,116
15,Golden State Warriors,W,104,92
16,New Orleans Pelicans,L,126,140
17,Memphis Grizzlies,L,103,104
18,Indiana Pacers,W,111,100
19,Milwaukee Bucks,L,129,135
20,Chicago Bulls,W,108,107
21,Minnesota Timberwolves,L,89,128
22,Houston Rockets,L,105,136
23,Portland Trail Blazers,W,131,118
24,Utah Jazz,L,105,139
25,Los Angeles Lakers,L,113,121
26,Los Angeles Lakers,W,133,120
27,Utah Jazz,W,110,97
28,Phoenix Suns,W,111,86
29,Los Angeles Clippers,W,125,87
30,Chicago Bulls,L,93,98
31,Philadelphia 76ers,W,123,96
32,Orlando Magic,W,129,90
33,Minnesota Timberwolves,W,124,98
34,Houston Rockets,L,101,108
35,Denver Nuggets,W,111,103
36,Denver Nuggets,L,99,102
37,Los Angeles Clippers,W,122,111
38,Boston Celtics,W,120,111
39,Toronto Raptors,W,125,107
40,Memphis Grizzlies,W,108,88
41,Detroit Pistons,W,119,107
42,Memphis Grizzlies,L,86,96
43,Oklahoma City Thunder,W,154,147
44,Oklahoma City Thunder,L,112,122
45,Charlotte Hornets,L,93,108
46,Dallas Mavericks,W,105,101
47,Minnesota Timberwolves,W,116,113
48,Los Angeles Clippers,L,95,103
49,Philadelphia 76ers,L,120,122
50,New Orleans Pelicans,W,126,114
51,Washington Wizards,W,132,119
52,Phoenix Suns,W,126,124
53,Brooklyn Nets,W,117,114
54,New Orleans Pelicans,W,113,108
55,Sacramento Kings,L,112,127
56,Golden State Warriors,L,102,141
57,Portland Trail Blazers,L,118,127
58,Utah Jazz,L,105,125
59,Memphis Grizzlies,W,108,107
60,Toronto Raptors,L,117,120
61,New York Knicks,L,118,130
62,Brooklyn Nets,L,85,101
63,Detroit Pistons,W,105,93
64,Oklahoma City Thunder,W,116,102
65,Denver Nuggets,W,104,103
66,Atlanta Hawks,W,111,104
67,Milwaukee Bucks,W,121,114
68,Dallas Mavericks,W,112,105
69,New York Knicks,W,109,83
70,Portland Trail Blazers,W,108,103
71,Golden State Warriors,W,111,105
72,Miami Heat,L,105,110
73,Houston Rockets,L,105,111
74,Boston Celtics,W,115,96
75,Charlotte Hornets,L,116,125
76,Cleveland Cavaliers,W,116,110
77,Sacramento Kings,L,106,113
78,Atlanta Hawks,W,117,111
79,Denver Nuggets,L,85,113
80,Washington Wizards,W,129,112
81,Cleveland Cavaliers,W,112,90
82,Dallas Mavericks,W,105,94
