id,hour,comment,like,hate,num
0,60,솔직히 다 알지ㅋㅋㅋ 그래도 레알 이적설 뜨는거는 기분 좋다,526,36,28
1,60,찌라시인거 모르는사람있음?ㅋㅋㅋㅋ 레알이적설 나올만큼 성장했다는게 중요한거지 ㅋㅋ,238,54,21
2,60,하 저도 레알마드리드 꼭가고 싶습니다.ㅠㅠ,89,36,12
3,60,베일정도는 정리해야 자리가있지.,66,8,12
4,60,논Eu 랑 이적자금등 이미 현재로 어려운건 알던건데 관심받는게 대단한거지,45,15,8
5,60,zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 손뽕 어리둥절,45,51,15
6,60,중요한건 레알이 손흥민을 주시했다는거지,37,40,1
7,19,이번 여름 이미 공격진 영입했고 기존 선수 안나가는데 올여름 어려운건 알던거아냐 손흥민도 최근 이사해서 어디던최소 이번여름은 토트넘그대로일거다,30,4,1
8,13,손선수가 아니라고 했는데 이런기사를 쓰는 이유가 뭐냐 레알이랑 연결된다는 기사도 엄청난거지!!!,19,6,3
9,58,교통정리가 안됐는데 어떻게 영입해ㅋㅋ 베일하고 스왑딜 얘기가 잠깐 떠돌았는데 닭집은 베일한테 주급 9업을 줄수있는팀이 아니야,18,6,2
10,60,손뽕들 사이에선 논란거리지 해축보는사람들한테는 당연한결과임,15,22,2
11,8,논Eu 랑 이적자금등 이미 현재로 어려운건 알던건데 관심받는게 대단한거지 레알이던 어디던 이적 적기가 되가는건 객관적인 사실이니 전성기 들어가는 시점이니 우승할팀으로 도전하고 도약하길,14,3,1
12,60,본인은 아니라는데 기사로 이적보냈다가 이적불가라니!!뭐냐~~ㅎ,14,5,0
13,60,한국 선수에게 이런 얘기가 나오는 것만으로도 엄청난 일이다.. 비아냥 거리는 애들 이해가 안되네,12,9,2
14,54,레알이 미쳤냐 느그흥을 사게? 손뽕은 정말 역겹다,7,10,1
15,13,REAL Madrid No.7 Sonaldo. 내년에는 볼 수 있을듯,6,2,0
16,60,손흥민 토트넘에서도 잘하는데 레알 마드리드 안 가면 뭐 어때서,5,5,2
17,60,솔직히 안가도되잖아? 지금 토트넘에서 중요한선수고 만약 이적을 하더라도 충분히 좋은 클럽으로도 갈수있는데 굳이 레알안가도됨 뭐 손까들은 응 못가 이러겠지만 ㄷㅅ들이 니들은 손흥민 인생에 1억분에 1이라도 따라 해볼수나 있겠냐 ..??,5,5,2
18,60,이게 맞지 ㅋㅋㅋㅋㅋㅋㅋㅋ설렜냐 손뽕들아 ㅋㅋㅋㅋ 포체티노 DESK 다 빅클럽가고 흥민이 혼자 토트넘 남을듯,5,14,2
19,60,"페레즈 "" 손흥민살바에 일본유망주 쿠보영입 ㅋ """,4,7,0
20,19,믿고 거르는 한준 기사,4,0,0
21,30,다들 못갈거 예상했지만 ..그래도 위상이 높아져서 기분좋다 ~,4,0,0
22,31,굳이 레알안가도 epl에서성공한것만봐도기쁘다,4,0,0
23,60,하여간 진짜 손뽕들 정신나갔다니깐?,4,14,0
24,32,이적설 뜬거에 의미를 둬야하는데 자꾸 기자들이 설레발 침,3,0,0
25,34,손 응원한다만 빠심빼도 레알에 연결되는게이상한일 같지않다 흥민이가 많이큰거지,3,0,0
26,58,손뽕들 머가리 터질때까지 짓밟아버리고싶다 살아있을 가치가 없는 쓰레기만도 못한 손뽕들!,3,7,0
27,60,한준 어느새 김민재관련해서 사과도 안하고 기어나오셨네 ㅋㅋㅋㅋㅋ,3,1,0
28,60,누가 간다고했나요 에구 설에 불과한것를 소니 이름만 괜시리 오르내렸네,3,2,0
29,60,누가 간다캤나.??? 기사도 제대로 알고 써라 그게 기자의 기본이다,3,1,1
30,8,손뽕들 쿨한척 오지누 ㅋㅋ,2,3,8
